name,RepoSummary,Link
Codeusa/Borderless-,"        Play your favorite games in a borderless window; no more time consuming alt-tabs. 
      ",https://github.com/Codeusa/Borderless-Gaming
chunying/,        GamingAnywhere: An Open Cloud ,https://github.com/chunying/gaminganywhere
djdallmann/,        A research and evidence based approach to optimizing your ,https://github.com/djdallmann/GamingPCSetup
lutris/lutris,"        Lutris desktop client in Python / PyGObject
      ",https://github.com/lutris/lutris
Magisk-Modules-Alt-Repo/,        ,https://github.com/Magisk-Modules-Alt-Repo/gaming
uberhalit/EldenRingFpsUnlockAndMore,"        A small utility to remove frame rate limit, change FOV, add widescreen support and more for Elden Ring
      ",https://github.com/uberhalit/EldenRingFpsUnlockAndMore
lutris/website,"        Lutris.net website
      ",https://github.com/lutris/website
ChintanTrivedi/Deep,        A deep learning based AI bot for playing the football simulation ,https://github.com/ChintanTrivedi/DeepGamingAI_FIFA
ecalder6/azure-,        Cloud ,https://github.com/ecalder6/azure-gaming
ChintanTrivedi/Deep,"        Using Reinforcement Learning to play FIFA
      ",https://github.com/ChintanTrivedi/DeepGamingAI_FIFARL
TelegramMessenger/,"        Communication between Telegram Apps and Games
      ",https://github.com/TelegramMessenger/GamingCommunication
jatinmandav/,"        Code to all the Games I made using Python Programming Language
      ",https://github.com/jatinmandav/Gaming-in-Python
gingemonster/,        Sample code to accompany our GameBoy development C GBDK youtube series ,https://github.com/gingemonster/GamingMonstersGameBoySampleCode
andykorth/Pencil.,"        An open-source, cross-platform ",https://github.com/andykorth/Pencil.Gaming
cloudwu/skynet,        A lightweight online ,https://github.com/cloudwu/skynet
johnnynunez/Xiaomi,"        i7-8750h
      ",https://github.com/johnnynunez/XiaomiGaming
icyleaf/EFI-ASRock-Z390-Phantom-,"        Mini ITX 4k 视频剪辑黑苹果 macOS Monterey OpenCore EFI
      ",https://github.com/icyleaf/EFI-ASRock-Z390-Phantom-Gaming-ITX
VladimirMikulic/sms-,        ,https://github.com/VladimirMikulic/sms-gaming
danielyxie/bitburner,        Bitburner ,https://github.com/danielyxie/bitburner
ahkohd/Flutter,        ,https://github.com/ahkohd/FlutterGamingApp
Gazler/githug,        Git your ,https://github.com/Gazler/githug
giongto35/cloud-game,        Web-based Cloud ,https://github.com/giongto35/cloud-game
bskim/,        serverless handsonlab repository for ,https://github.com/bskim/gamingonaws2017_serverless
AgoraIO/Voice-Call-for-Mobile-,NULL,https://github.com/AgoraIO/Voice-Call-for-Mobile-Gaming
parsec-cloud/Parsec-Cloud-Preparation-Tool,"        Launch Parsec enabled cloud computers via your own cloud provider account.
      ",https://github.com/parsec-cloud/Parsec-Cloud-Preparation-Tool
codecombat/codecombat,        ,https://github.com/codecombat/codecombat
godotengine/godot,        Godot Engine – Multi-platform 2D and 3D ,https://github.com/godotengine/godot
learncodebygaming/opencv_tutorials,        Tutorials for learning OpenCV by making a video ,https://github.com/learncodebygaming/opencv_tutorials
BenjaminX/Hackintosh-Gigabyte-Z390M-,"        Only for OpenCore bootloader
      ",https://github.com/BenjaminX/Hackintosh-Gigabyte-Z390M-GAMING
mozilla/BrowserQuest,        A HTML5/JavaScript multiplayer ,https://github.com/mozilla/BrowserQuest
Hexorg/CheatEngineTables,"        Repository of tables for CheatEngine
      ",https://github.com/Hexorg/CheatEngineTables
